trial comp/dSemi comp/dEcc 
a20_e13 2546.237765 0.403448
a20_e14 2546.237765 0.434483
a20_e15 2546.237765 0.465517
a20_e16 2546.237765 0.496552
a20_e17 2546.237765 0.527586
a20_e18 2546.237765 0.558621
a20_e19 2546.237765 0.589655
a20_e20 2546.237765 0.620690
a20_e21 2546.237765 0.651724
a20_e22 2546.237765 0.682759
a20_e23 2546.237765 0.713793
a20_e24 2546.237765 0.744828
a20_e25 2546.237765 0.775862
a20_e26 2546.237765 0.806897
a20_e27 2546.237765 0.837931
a20_e28 2546.237765 0.868966
a20_e29 2546.237765 0.900000
a21_e00 2891.627879 0.000000
a21_e01 2891.627879 0.031034
a21_e02 2891.627879 0.062069
a21_e03 2891.627879 0.093103
a21_e04 2891.627879 0.124138
a21_e05 2891.627879 0.155172
a21_e06 2891.627879 0.186207
a21_e07 2891.627879 0.217241
a21_e08 2891.627879 0.248276
a21_e09 2891.627879 0.279310
a21_e10 2891.627879 0.310345
a21_e11 2891.627879 0.341379
a21_e12 2891.627879 0.372414
a21_e13 2891.627879 0.403448
a21_e14 2891.627879 0.434483
a21_e15 2891.627879 0.465517
a21_e16 2891.627879 0.496552
a21_e17 2891.627879 0.527586
a21_e18 2891.627879 0.558621
a21_e19 2891.627879 0.589655
a21_e20 2891.627879 0.620690
a21_e21 2891.627879 0.651724
a21_e22 2891.627879 0.682759
a21_e23 2891.627879 0.713793
a21_e24 2891.627879 0.744828
a21_e25 2891.627879 0.775862
a21_e26 2891.627879 0.806897
a21_e27 2891.627879 0.837931
a21_e28 2891.627879 0.868966
a21_e29 2891.627879 0.900000
a22_e00 3283.869206 0.000000
a22_e01 3283.869206 0.031034
a22_e02 3283.869206 0.062069
a22_e03 3283.869206 0.093103
a22_e04 3283.869206 0.124138
a22_e05 3283.869206 0.155172
a22_e06 3283.869206 0.186207
a22_e07 3283.869206 0.217241
a22_e08 3283.869206 0.248276
a22_e09 3283.869206 0.279310
a22_e10 3283.869206 0.310345
a22_e11 3283.869206 0.341379
a22_e12 3283.869206 0.372414
a22_e13 3283.869206 0.403448
a22_e14 3283.869206 0.434483
a22_e15 3283.869206 0.465517
a22_e16 3283.869206 0.496552
a22_e17 3283.869206 0.527586
a22_e18 3283.869206 0.558621
a22_e19 3283.869206 0.589655
a22_e20 3283.869206 0.620690
a22_e21 3283.869206 0.651724
a22_e22 3283.869206 0.682759
a22_e23 3283.869206 0.713793
a22_e24 3283.869206 0.744828
a22_e25 3283.869206 0.775862
a22_e26 3283.869206 0.806897
a22_e27 3283.869206 0.837931
a22_e28 3283.869206 0.868966
a22_e29 3283.869206 0.900000
a23_e00 3729.316985 0.000000
a23_e01 3729.316985 0.031034
a23_e02 3729.316985 0.062069
a23_e03 3729.316985 0.093103
a23_e04 3729.316985 0.124138
a23_e05 3729.316985 0.155172
a23_e06 3729.316985 0.186207
a23_e07 3729.316985 0.217241
a23_e08 3729.316985 0.248276
a23_e09 3729.316985 0.279310
a23_e10 3729.316985 0.310345
a23_e11 3729.316985 0.341379
a23_e12 3729.316985 0.372414
a23_e13 3729.316985 0.403448
a23_e14 3729.316985 0.434483
a23_e15 3729.316985 0.465517
a23_e16 3729.316985 0.496552
a23_e17 3729.316985 0.527586
a23_e18 3729.316985 0.558621
a23_e19 3729.316985 0.589655
a23_e20 3729.316985 0.620690
a23_e21 3729.316985 0.651724
a23_e22 3729.316985 0.682759
a23_e23 3729.316985 0.713793
a23_e24 3729.316985 0.744828
a23_e25 3729.316985 0.775862
a23_e26 3729.316985 0.806897
a23_e27 3729.316985 0.837931
a23_e28 3729.316985 0.868966
a23_e29 3729.316985 0.900000
a24_e00 4235.188523 0.000000
a24_e01 4235.188523 0.031034
a24_e02 4235.188523 0.062069
a24_e03 4235.188523 0.093103
a24_e04 4235.188523 0.124138
a24_e05 4235.188523 0.155172
a24_e06 4235.188523 0.186207
a24_e07 4235.188523 0.217241
a24_e08 4235.188523 0.248276
a24_e09 4235.188523 0.279310
a24_e10 4235.188523 0.310345
a24_e11 4235.188523 0.341379
a24_e12 4235.188523 0.372414
a24_e13 4235.188523 0.403448
a24_e14 4235.188523 0.434483
a24_e15 4235.188523 0.465517
a24_e16 4235.188523 0.496552
a24_e17 4235.188523 0.527586
a24_e18 4235.188523 0.558621
a24_e19 4235.188523 0.589655
a24_e20 4235.188523 0.620690
a24_e21 4235.188523 0.651724
a24_e22 4235.188523 0.682759
a24_e23 4235.188523 0.713793
a24_e24 4235.188523 0.744828
a24_e25 4235.188523 0.775862
a24_e26 4235.188523 0.806897
a24_e27 4235.188523 0.837931
a24_e28 4235.188523 0.868966
a24_e29 4235.188523 0.900000
a25_e00 4809.680138 0.000000
a25_e01 4809.680138 0.031034
a25_e02 4809.680138 0.062069
a25_e03 4809.680138 0.093103
a25_e04 4809.680138 0.124138
a25_e05 4809.680138 0.155172
a25_e06 4809.680138 0.186207
a25_e07 4809.680138 0.217241
a25_e08 4809.680138 0.248276
a25_e09 4809.680138 0.279310
a25_e10 4809.680138 0.310345
a25_e11 4809.680138 0.341379
a25_e12 4809.680138 0.372414
a25_e13 4809.680138 0.403448
a25_e14 4809.680138 0.434483
a25_e15 4809.680138 0.465517
a25_e16 4809.680138 0.496552
a25_e17 4809.680138 0.527586
a25_e18 4809.680138 0.558621
a25_e19 4809.680138 0.589655
a25_e20 4809.680138 0.620690
a25_e21 4809.680138 0.651724
a25_e22 4809.680138 0.682759
a25_e23 4809.680138 0.713793
a25_e24 4809.680138 0.744828
a25_e25 4809.680138 0.775862
